               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12072,            0.027213,                   0,                   0,                   0,                   0,                   0,             0.12039,            0.020649,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11579,            0.023754,                   0,          0.00033333,                0.08,          0.00018118,          2.7229e-05,             0.10655,            0.017662,                   0,            0.091896,          0.00089554,          0.00089554
                   2,               0.106,            0.021487,                   0,              0.0005,                0.12,          0.00041402,          0.00022463,            0.097957,            0.015192,                   0,            0.087386,           0.0013861,           0.0013861
                   3,             0.10206,            0.018546,                   0,          0.00083333,                 0.2,          0.00075744,          0.00022033,             0.09564,            0.013586,                   0,            0.082872,           0.0018718,           0.0018718
                   4,            0.097286,            0.017853,                   0,           0.0011667,                0.28,           0.0014407,          0.00039274,            0.089607,            0.012592,                   0,            0.078352,           0.0023525,           0.0023525
                   5,            0.087298,             0.01745,                   0,               0.002,                0.48,           0.0040708,           0.0010298,            0.082352,             0.01222,                   0,            0.073828,           0.0028282,           0.0028282
                   6,            0.080667,            0.017333,                   0,           0.0021667,                0.52,            0.026113,           0.0076987,             0.07841,            0.012022,                   0,            0.069299,            0.003299,            0.003299
                   7,            0.072699,            0.018127,                   0,              0.0025,                 0.6,             0.12676,            0.032643,            0.067861,            0.012249,                   0,            0.064765,           0.0037649,           0.0037649
                   8,             0.06972,            0.018754,                   0,               0.003,                0.72,             0.25819,            0.095172,            0.065862,            0.011929,                   0,            0.060226,           0.0042258,           0.0042258
                   9,            0.065786,            0.018296,                   0,           0.0040853,                0.76,             0.18934,            0.057185,            0.063973,            0.011274,                   0,            0.055682,           0.0046817,           0.0046817
                  10,            0.062158,             0.01794,                   0,            0.022994,                0.48,             0.17284,            0.032768,            0.069422,            0.010618,                   0,            0.051133,           0.0051327,           0.0051327
                  11,            0.065299,            0.016292,                   0,             0.06049,                0.56,             0.25976,            0.095496,            0.061361,            0.010887,                   0,            0.046579,           0.0055787,           0.0055787
                  12,            0.061403,            0.016091,                   0,             0.61096,                 0.2,             0.19686,            0.048914,            0.070918,           0.0096359,                   0,             0.04202,           0.0060198,           0.0060198
                  13,            0.061842,            0.015165,                   0,             0.35751,                0.04,             0.20798,            0.064402,            0.066941,           0.0095768,                   0,            0.037456,            0.006456,            0.006456
                  14,             0.06129,            0.016358,                   0,             0.47575,                0.04,             0.32796,             0.10151,            0.057227,            0.010206,                   0,            0.032887,           0.0068872,           0.0068872
                  15,             0.05997,            0.014418,                   0,             0.57035,                0.04,             0.24718,            0.076417,            0.062685,           0.0095959,                   0,            0.028313,           0.0073134,           0.0073134
                  16,            0.058579,            0.016111,                   0,                   1,             0.12413,             0.36375,             0.17144,            0.060513,           0.0093174,                   0,            0.023735,           0.0077347,           0.0077347
                  17,            0.058434,            0.014741,                   0,             0.63306,                0.12,             0.41178,             0.10512,            0.063587,           0.0087223,                   0,            0.019151,           0.0081511,           0.0081511
                  18,            0.057099,            0.016059,                   0,             0.55351,             0.14997,             0.34045,            0.097137,            0.059543,           0.0093498,                   0,            0.014562,           0.0085625,           0.0085625
                  19,            0.058638,            0.014104,                   0,             0.46941,             0.17798,             0.41598,             0.12593,            0.053904,           0.0096321,                   0,           0.0099689,           0.0089689,           0.0089689
                  20,            0.056351,            0.013068,                   0,             0.69413,             0.27295,               0.425,             0.15874,            0.054337,           0.0093899,                   0,             0.00901,             0.00901,             0.00901
                  21,            0.054201,            0.012875,                   0,             0.53155,                 0.2,             0.32135,            0.098848,            0.054697,           0.0090694,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.052161,            0.013756,                   0,             0.46479,                0.32,             0.45579,             0.16933,            0.054915,           0.0086555,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.050898,            0.012836,                   0,             0.81547,                0.36,             0.54974,             0.23531,            0.050843,           0.0098095,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.049176,            0.013254,                   0,             0.70423,                0.32,             0.38462,             0.11256,            0.055171,            0.010048,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.049388,            0.013656,                   0,             0.73169,                0.32,             0.52728,             0.18312,            0.048526,           0.0096035,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.050958,            0.012418,                   0,             0.60139,             0.54357,             0.57921,             0.22183,            0.045335,           0.0088081,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.047967,            0.011707,                   0,             0.55866,                 0.6,             0.51597,             0.15314,            0.051279,           0.0077991,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.047341,            0.010584,                   0,             0.66941,             0.56724,             0.62104,             0.22259,            0.047205,           0.0079403,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.046037,            0.010595,                   0,              0.5918,                 0.6,             0.53895,              0.2068,            0.051565,           0.0070744,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.047348,           0.0097185,                   0,             0.65281,                 0.6,             0.64851,              0.2992,            0.044969,           0.0073452,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.048394,            0.010038,                   0,             0.77127,              0.6746,             0.77462,             0.31903,            0.043974,           0.0068645,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.046844,            0.010121,                   0,             0.60945,                0.68,             0.63791,             0.22477,            0.047314,           0.0067406,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.046463,           0.0089965,                   0,             0.60667,                0.68,             0.71946,              0.2885,            0.044701,           0.0063839,                   0,            0.008416,            0.008416,            0.008416
                  34,             0.04451,           0.0094939,                   0,              0.7748,                0.68,              0.8059,             0.32003,            0.043892,            0.006443,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.048675,           0.0089729,                   0,             0.93655,             0.59088,             0.73173,             0.37084,            0.043543,           0.0064154,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.044822,           0.0086801,                   0,             0.79897,                0.64,             0.72598,             0.28235,            0.045389,           0.0060749,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.041414,           0.0085412,                   0,             0.81021,             0.68318,             0.79285,             0.36822,            0.043289,            0.006114,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.043135,             0.00904,                   0,             0.74109,                0.68,             0.74456,             0.37946,            0.039067,           0.0061874,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.042491,           0.0086619,                   0,             0.90621,             0.77337,             0.85414,             0.38841,            0.039865,           0.0060625,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.042411,            0.008166,                   0,             0.69933,                 0.8,             0.75091,             0.31762,            0.046451,           0.0061855,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.041035,           0.0079085,                   0,             0.85667,                0.72,             0.79677,             0.37116,            0.040754,           0.0060949,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.042244,           0.0075019,                   0,             0.68271,                0.48,             0.52263,             0.22926,            0.064025,           0.0077629,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.044641,           0.0078372,                   0,             0.80322,                0.92,             0.90804,             0.41553,            0.038859,           0.0057144,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.041536,           0.0078417,                   0,             0.87607,                0.92,             0.92342,             0.31092,            0.043041,           0.0054283,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.043589,           0.0074649,                   0,             0.91565,                0.72,              0.8784,              0.4777,            0.041095,           0.0054455,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.041211,           0.0068552,                   0,             0.84193,                0.76,             0.77872,             0.33787,            0.042813,           0.0054607,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.039741,           0.0078147,                   0,             0.87449,             0.83622,             0.89689,             0.43435,            0.037553,           0.0054169,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.040024,           0.0063685,                   0,             0.86236,                0.84,             0.91781,             0.46295,            0.039296,            0.005024,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.042879,           0.0072972,                   0,             0.94351,                0.88,             0.95929,              0.4873,            0.037894,           0.0049343,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.039931,           0.0073473,                   0,             0.79842,                0.76,             0.88088,             0.36721,            0.040638,           0.0049362,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,             0.03971,            0.007442,                   0,             0.89286,                0.88,              0.9523,             0.51608,            0.034194,           0.0051651,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.039695,           0.0071879,                   0,             0.95191,             0.79216,             0.90532,             0.50324,            0.036494,            0.004961,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.035736,           0.0070656,                   0,             0.95305,             0.81244,             0.91918,             0.42936,            0.037098,           0.0051947,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.038334,           0.0073445,                   0,             0.86717,             0.78385,             0.80087,             0.36125,            0.045494,           0.0057049,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.034111,           0.0070519,                   0,             0.93011,                0.84,             0.91979,             0.43329,            0.039318,           0.0051165,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.038643,            0.006545,                   0,             0.88129,             0.89119,             0.94223,             0.45346,            0.036362,           0.0049267,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.037928,           0.0066792,                   0,             0.92115,                0.84,             0.93541,             0.45779,            0.036926,           0.0046358,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.036031,           0.0068115,                   0,              0.9576,             0.90375,             0.97158,             0.47372,            0.036179,           0.0044489,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.035627,           0.0066659,                   0,                   1,             0.94144,             0.99071,             0.58263,            0.029365,            0.004468,                   0,            0.007129,            0.007129,            0.007129
                  60,             0.03518,           0.0064385,                   0,             0.99083,                0.88,             0.96916,              0.5344,            0.030859,           0.0044947,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.036287,           0.0063346,                   0,             0.74405,             0.81429,             0.84921,             0.46271,            0.034446,           0.0049248,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.035749,           0.0068544,                   0,             0.79051,             0.90597,             0.88477,             0.48036,            0.036167,           0.0047379,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.034365,           0.0064412,                   0,             0.91607,             0.87344,             0.92967,             0.47834,            0.033412,           0.0046644,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.036472,           0.0059775,                   0,             0.83631,                0.92,             0.90168,             0.50354,            0.031562,           0.0047588,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.037744,           0.0060118,                   0,             0.94521,                0.84,               0.881,             0.49731,             0.03362,           0.0046329,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.037513,           0.0065704,                   0,             0.95806,             0.91395,             0.91618,             0.55239,            0.032092,           0.0045757,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.036032,           0.0063551,                   0,             0.95811,             0.91507,             0.93512,             0.51924,            0.032142,            0.004528,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.035186,           0.0073737,                   0,             0.88508,             0.92431,              0.9488,             0.46255,            0.035341,           0.0046864,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.035708,           0.0066878,                   0,             0.95803,                0.96,             0.96257,             0.54489,            0.032712,           0.0043726,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.033371,           0.0059989,                   0,             0.95863,             0.92723,             0.95481,             0.51381,            0.035808,           0.0044765,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.031658,           0.0054037,                   0,             0.86165,             0.74776,             0.80239,             0.42331,            0.036179,           0.0056801,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.032066,           0.0067196,                   0,             0.91754,             0.89046,             0.92546,             0.49154,            0.034267,           0.0049734,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.033597,           0.0055747,                   0,             0.94334,                0.84,             0.91566,             0.46288,            0.034389,           0.0049124,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.035611,           0.0061902,                   0,             0.84023,             0.84153,             0.87197,             0.47541,            0.033515,           0.0049496,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.032627,           0.0056934,                   0,             0.99405,                0.92,             0.94998,             0.47748,            0.033616,           0.0045128,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.031556,           0.0050043,                   0,                   1,             0.91441,               0.957,             0.56967,            0.031103,           0.0043015,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.034018,           0.0063604,                   0,             0.95798,              0.9122,             0.95563,             0.54826,            0.032762,            0.004303,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.031971,           0.0056864,                   0,             0.91995,             0.91944,             0.93887,               0.504,            0.035308,           0.0043955,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.032574,           0.0052961,                   0,             0.98206,                0.92,             0.94792,             0.44165,            0.039227,           0.0044503,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.033224,           0.0060207,                   0,               0.945,                0.92,             0.94203,             0.47551,            0.037095,           0.0044351,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.032711,           0.0057979,                   0,             0.94628,                0.92,             0.94152,             0.49286,            0.035088,           0.0044584,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.031262,            0.004854,                   0,                   1,              0.9161,             0.94125,             0.51994,            0.032522,           0.0044556,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.030974,           0.0051532,                   0,             0.98795,                0.92,             0.93921,             0.51529,            0.035149,           0.0044956,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.029894,           0.0056888,                   0,             0.86757,                0.92,             0.93857,             0.46955,            0.033309,           0.0043006,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.029238,           0.0056757,                   0,             0.87619,                0.92,             0.93651,             0.53103,            0.028934,           0.0043039,                   0,            0.005842,            0.005842,            0.005842
                  86,             0.03024,           0.0056584,                   0,             0.87957,             0.87652,             0.91818,             0.50486,            0.030449,           0.0043526,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.031145,           0.0062786,                   0,              0.9134,              0.8439,             0.95721,             0.47598,            0.031638,           0.0041466,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.030202,           0.0057439,                   0,                   1,             0.90478,             0.98223,             0.47731,            0.032428,           0.0041285,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.028407,           0.0051729,                   0,             0.95764,             0.90473,             0.96438,             0.55434,            0.031124,           0.0039825,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.029825,           0.0050803,                   0,             0.95755,                0.92,             0.96526,             0.54398,            0.031898,           0.0039935,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.026357,           0.0059231,                   0,             0.91608,             0.87357,             0.95506,             0.50116,            0.031193,           0.0040641,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.028793,           0.0054879,                   0,              0.9545,             0.83923,             0.92158,              0.5123,             0.03016,           0.0041356,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.027539,           0.0058295,                   0,             0.95417,             0.83308,              0.9459,             0.53824,            0.028919,           0.0041327,                   0,            0.005446,            0.005446,            0.005446
                  94,             0.02779,           0.0054975,                   0,             0.95413,             0.83223,             0.93838,             0.54354,            0.030366,           0.0040531,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.030304,           0.0054199,                   0,               0.917,                0.92,              0.9609,             0.55264,            0.030024,           0.0040317,                   0,            0.005347,            0.005347,            0.005347
                  96,             0.02939,           0.0052407,                   0,             0.95897,                0.96,             0.98037,             0.54225,            0.029429,           0.0041003,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.027902,           0.0048553,                   0,             0.91822,                0.92,             0.95608,              0.5402,            0.031569,           0.0040855,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.028751,           0.0052318,                   0,             0.95103,                0.96,             0.98281,              0.5544,            0.029413,           0.0040402,                   0,           0.0051985,           0.0051985,           0.0051985
